Wind forecast from Open-Meteo.com
Lat    	Lon     	Time
35.348	-117.809	0300Z
QNH hPa	QFE hPa
1008.1	935.8
 Alt 	Dir	Spd	Temp
ftAGL 	deg	kts	degC
    0	290	 16	  32
 1000	293	 21	  29
 2000	294	 28	  27
 3000	295	 32	  24
 4000	293	 30	  22
 5000	286	 27	  20
 6000	274	 23	  18
 7000	263	 22	  15
 8000	250	 21	  12
 9000	247	 21	  10
10000	246	 22	   8
11000	249	 23	   6
12000	252	 25	   4
13000	253	 27	   3
14000	252	 30	   2
15000	251	 33	   1
16000	248	 35	  -1
17000	245	 38	  -2
18000	243	 41	  -4
19000	242	 45	  -6
20000	240	 47	  -8
21000	241	 48	 -10
22000	241	 49	 -12
23000	243	 50	 -14
24000	246	 50	 -17
25000	249	 51	 -19
26000	252	 51	 -22
27000	253	 52	 -24
28000	254	 52	 -27
29000	254	 53	 -29
30000	255	 54	 -32
31000	255	 54	 -34
32000	255	 55	 -37
33000	255	 56	 -39
34000	255	 56	 -41
35000	257	 55	 -44
36000	258	 54	 -46
37000	260	 52	 -48
38000	262	 51	 -51
39000	263	 50	 -53
40000	261	 50	 -55
41000	260	 50	 -57
42000	258	 49	 -59
43000	257	 49	 -61
44000	255	 49	 -64
